,Force,Distance
139,4.6862342895863875,1.4240342180926624
140,4.871190052638381,1.4237654461158304
141,5.170185324382073,1.4226263307474616
142,5.485961031508748,1.42650217908793
143,5.4201698372940355,1.4250630819818135
144,5.62539487819897,1.4282967440883345
145,6.0975927031343735,1.4250790318947342
146,5.945062790597622,1.4252734947795513
147,6.030601586336889,1.428292070113451
148,6.439763111975861,1.4297164663137019
149,6.639214671137457,1.4305094004084302
150,6.6385845043519875,1.4333647642129468
151,6.840960116307674,1.4324170066601662
152,6.955750862574987,1.4328125033848198
153,7.141106319694106,1.4327549749078465
154,7.34604767726078,1.4321823925422006
155,7.518805120240258,1.4347086094797108
156,7.702391513397167,1.4336613601818824
157,7.882436952815124,1.4337411793331145
158,8.199623558900216,1.4358038598637206
159,8.321595720414507,1.434045063293632
